volt    param        param
         1/lx8(mp)     -i(mp)
1.37400     2.322e+06    6.525e-07
1.37300     2.272e+06    6.675e-07
1.37200     2.223e+06    6.828e-07
1.37100     2.175e+06    6.984e-07
1.37000     2.129e+06    7.144e-07
1.36900     2.083e+06    7.307e-07
1.36800     2.038e+06    7.474e-07
1.36700     1.995e+06    7.644e-07
1.36600     1.952e+06    7.818e-07
1.36500     1.911e+06    7.996e-07
1.36400     1.870e+06    8.178e-07
1.36300     1.830e+06    8.364e-07
1.36200     1.791e+06    8.553e-07
1.36100     1.753e+06    8.747e-07
1.36000     1.716e+06    8.945e-07
1.35900     1.680e+06    9.147e-07
1.35800     1.645e+06    9.354e-07
1.35700     1.610e+06    9.565e-07
1.35600     1.576e+06    9.781e-07
1.35500     1.543e+06    1.000e-06
1.35400     1.511e+06    1.023e-06
1.35300     1.479e+06    1.046e-06
1.35200     1.448e+06    1.069e-06
1.35100     1.418e+06    1.093e-06
1.35000     1.388e+06    1.117e-06
1.34900     1.359e+06    1.142e-06
1.34800     1.331e+06    1.168e-06
1.34700     1.304e+06    1.194e-06
1.34600     1.277e+06    1.220e-06
1.34500     1.250e+06    1.248e-06
1.34400     1.225e+06    1.275e-06
1.34300     1.200e+06    1.304e-06
1.34200     1.175e+06    1.332e-06
1.34100     1.151e+06    1.362e-06
1.34000     1.127e+06    1.392e-06
1.33900     1.104e+06    1.423e-06
1.33800     1.082e+06    1.454e-06
1.33700     1.060e+06    1.486e-06
1.33600     1.039e+06    1.519e-06
1.33500     1.018e+06    1.552e-06
1.33400     9.975e+05    1.586e-06
1.33300     9.775e+05    1.621e-06
1.33200     9.579e+05    1.656e-06
1.33100     9.388e+05    1.692e-06
1.33000     9.201e+05    1.729e-06
1.32900     9.018e+05    1.767e-06
1.32800     8.839e+05    1.805e-06
1.32700     8.664e+05    1.844e-06
1.32600     8.494e+05    1.884e-06
1.32500     8.327e+05    1.925e-06
1.32400     8.163e+05    1.966e-06
1.32300     8.004e+05    2.008e-06
1.32200     7.848e+05    2.051e-06
1.32100     7.695e+05    2.095e-06
1.32000     7.546e+05    2.140e-06
1.31900     7.400e+05    2.186e-06
1.31800     7.257e+05    2.233e-06
1.31700     7.118e+05    2.280e-06
1.31600     6.982e+05    2.329e-06
1.31500     6.849e+05    2.378e-06
1.31400     6.718e+05    2.428e-06
1.31300     6.591e+05    2.480e-06
1.31200     6.466e+05    2.532e-06
1.31100     6.345e+05    2.585e-06
1.31000     6.226e+05    2.639e-06
1.30900     6.109e+05    2.695e-06
1.30800     5.995e+05    2.751e-06
1.30700     5.884e+05    2.809e-06
1.30600     5.775e+05    2.867e-06
1.30500     5.669e+05    2.927e-06
1.30400     5.565e+05    2.987e-06
1.30300     5.463e+05    3.049e-06
1.30200     5.363e+05    3.112e-06
1.30100     5.266e+05    3.176e-06
1.30000     5.171e+05    3.241e-06
1.29900     5.078e+05    3.308e-06
1.29800     4.986e+05    3.375e-06
1.29700     4.897e+05    3.444e-06
1.29600     4.810e+05    3.514e-06
1.29500     4.725e+05    3.586e-06
1.29400     4.642e+05    3.658e-06
1.29300     4.560e+05    3.732e-06
1.29200     4.480e+05    3.807e-06
1.29100     4.402e+05    3.884e-06
1.29000     4.326e+05    3.961e-06
